DateTime,CPI
20060401,200.7
20060501,201.3
20060601,201.8
20060701,202.9
20060801,203.8
20060901,202.8
20061001,201.9
20061101,202
20061201,203.1
20070101,203.437
20070201,204.226
20070301,205.288
20070401,205.904
20070501,206.755
20070601,207.234
20070701,207.603
20070801,207.667
20070901,208.547
20071001,209.19
20071101,210.834
20071201,211.445
20080101,212.174
20080201,212.687
20080301,213.448
20080401,213.942
20080501,215.208
20080601,217.463
20080701,219.016
20080801,218.69
20080901,218.877
20081001,216.995
20081101,213.153
20081201,211.398
20090101,211.933
20090201,212.705
20090301,212.495
20090401,212.709
20090501,213.022
20090601,214.79
20090701,214.726
20090801,215.445
20090901,215.861
20091001,216.509
20091101,217.234
20091201,217.347
20100101,217.488
20100201,217.281
20100301,217.353
20100401,217.403
20100501,217.29
20100601,217.199
20100701,217.605
20100801,217.923
20100901,218.275
20101001,219.035
20101101,219.59
20101201,220.472
20110101,221.187
20110201,221.898
20110301,223.046
20110401,224.093
20110501,224.806
20110601,224.806
20110701,225.395
20110801,226.106
20110901,226.597
20111001,226.75
20111101,227.169
20111201,227.223
20120101,227.842
20120201,228.329
20120301,228.807
20120401,229.187
20120501,228.713
20120601,228.524
20120701,228.59
20120801,229.918
20120901,231.015
20121001,231.638
20121101,231.249
20121201,231.221
20130101,231.679
20130201,232.937
20130301,232.282
20130401,231.797
20130501,231.893
20130601,232.445
20130701,232.9
20130801,233.456
20130901,233.544
20131001,233.669
20131101,234.1
20131201,234.719
20140101,235.288
20140201,235.547
20140301,236.028
20140401,236.468
20140501,236.918
20140601,237.231
20140701,237.498
20140801,237.46
20140901,237.477
20141001,237.43
20141101,236.983
20141201,236.252
20150101,234.747
20150201,235.342
20150301,235.976
20150401,236.222
20150501,237.001
20150601,237.657
20150701,238.034
20150801,238.033
20150901,237.498
20151001,237.733
20151101,238.017
20151201,237.761
20160101,237.652
20160201,237.336
20160301,238.08
20160401,238.992
20160501,239.557
20160601,240.222
20160701,240.101
20160801,240.545
20160901,241.176
20161001,241.741
20161101,242.026
20161201,242.637
20170101,243.618
20170201,244.006
20170301,243.892
20170401,244.193
20170501,244.004
20170601,244.163
20170701,244.243
20170801,245.183
20170901,246.435
20171001,246.626
20171101,247.284
20171201,247.805
20180101,248.859
20180201,249.529
20180301,249.577
20180401,250.227
20180501,250.792
20180601,251.018
20180701,251.214
20180801,251.663
20180901,252.182
20181001,252.772
20181101,252.594
20181201,252.767
20190101,252.561
20190201,253.319
20190301,254.277
20190401,255.233
20190501,255.296
20190601,255.213
20190701,255.802
20190801,256.036
20190901,256.43
20191001,257.155
20191101,257.879
20191201,258.63
20200101,259.127
20200201,259.25
20200301,258.076
20200401,256.032
20200501,255.802
20200601,257.042
20200701,258.352
20200801,259.316
20200901,259.997
20201001,260.319
20201101,260.911
20201201,262.045
20210101,262.639
20210201,263.573
20210301,264.847
20210401,266.625
20210501,268.404
20210601,270.71
20210701,271.965
20210801,272.752
20210901,273.942
20211001,276.528
20211101,278.824
20211201,280.806
20220101,282.542
20220201,284.525
20220301,287.467
20220401,288.582
20220501,291.299
20220601,295.072
20220701,294.94
20220801,295.162
20220901,296.421
20221001,297.979
20221101,298.708
20221201,298.808
20230101,300.456
20230201,301.476
20230301,301.643
20230401,302.858
20230501,303.316
20230601,304.099
20230701,304.615
20230801,306.138
20230901,307.374
20231001,307.653
20231101,308.087
20231201,308.735
20240101,309.794
20240201,311.022
20240301,312.107
20240401,313.016
20240501,313.14
20240601,313.131
20240701,313.566
20240801,314.131
20240901,314.851
20241001,315.564
20241101,316.449
20241201,317.603
20250101,319.086
20250201,319.775
20250301,319.615
