DateTime,IPI
20060401,98.6826
20060501,98.7074
20060601,99.0398
20060701,98.9751
20060801,99.4047
20060901,99.2246
20061001,99.1229
20061101,99.0963
20061201,100.1125
20070101,99.7546
20070201,100.7166
20070301,100.8952
20070401,101.5723
20070501,101.6269
20070601,101.6547
20070701,101.4953
20070801,101.6943
20070901,101.9428
20071001,101.6446
20071101,102.2167
20071201,102.2764
20080101,102.1493
20080201,101.7756
20080301,101.4508
20080401,100.7554
20080501,100.1336
20080601,99.8728
20080701,99.4194
20080801,97.8491
20080901,93.5576
20081001,94.4985
20081101,93.2617
20081201,90.6266
20090101,88.3712
20090201,87.843
20090301,86.4689
20090401,85.7903
20090501,84.9436
20090601,84.6746
20090701,85.6853
20090801,86.6393
20090901,87.3821
20091001,87.5809
20091101,87.9388
20091201,88.2404
20100101,89.1897
20100201,89.5046
20100301,90.1356
20100401,90.4607
20100501,91.7014
20100601,91.9033
20100701,92.2549
20100801,92.5936
20100901,92.8533
20101001,92.6033
20101101,92.6686
20101201,93.5916
20110101,93.3889
20110201,93.0045
20110301,93.9684
20110401,93.6571
20110501,93.7723
20110601,94.0493
20110701,94.4958
20110801,95.0974
20110901,95.0244
20111001,95.6891
20111101,95.6778
20111201,96.1809
20120101,96.7595
20120201,97.0662
20120301,96.5609
20120401,97.251
20120501,97.4595
20120601,97.4768
20120701,97.6714
20120801,97.2734
20120901,97.2217
20121001,97.5311
20121101,97.9084
20121201,98.1884
20130101,98.1736
20130201,98.6434
20130301,99.047
20130401,98.9445
20130501,99.0383
20130601,99.2221
20130701,98.8987
20130801,99.4897
20130901,100.021
20131001,99.9037
20131101,100.1582
20131201,100.374
20140101,99.9899
20140201,100.7471
20140301,101.7435
20140401,101.8273
20140501,102.2392
20140601,102.5774
20140701,102.7954
20140801,102.6322
20140901,102.9417
20141001,102.9611
20141101,103.5978
20141201,103.6151
20150101,102.7923
20150201,102.1366
20150301,101.7869
20150401,101.2255
20150501,100.7675
20150601,100.4588
20150701,101.0893
20150801,100.9165
20150901,100.633
20151001,100.1563
20151101,99.4366
20151201,98.9471
20160101,99.4391
20160201,98.9232
20160301,98.1635
20160401,98.4775
20160501,98.2549
20160601,98.7315
20160701,98.8452
20160801,98.7427
20160901,98.6552
20161001,98.7237
20161101,98.3443
20161201,99.0406
20170101,98.8158
20170201,98.4356
20170301,99.0492
20170401,100.0416
20170501,100.128
20170601,100.337
20170701,100.0865
20170801,99.6323
20170901,99.7482
20171001,100.9893
20171101,101.2493
20171201,101.4871
20180101,101.4852
20180201,101.7319
20180301,102.1943
20180401,103.3551
20180501,102.381
20180601,103.2256
20180701,103.3561
20180801,104.0585
20180901,104.1038
20181001,103.9297
20181101,104.0126
20181201,104.0451
20190101,103.3598
20190201,102.8251
20190301,102.8361
20190401,102.2748
20190501,102.4176
20190601,102.5425
20190701,102.0057
20190801,102.7814
20190901,102.4601
20191001,101.5878
20191101,102.1494
20191201,101.9421
20200101,101.3372
20200201,101.6718
20200301,97.606
20200401,84.6812
20200501,86.0108
20200601,91.6745
20200701,95.0037
20200801,95.9294
20200901,95.8914
20201001,96.5256
20201101,96.9529
20201201,98.2039
20210101,98.8135
20210201,95.5072
20210301,98.1929
20210401,98.3317
20210501,99.1867
20210601,99.6483
20210701,100.0668
20210801,100.0412
20210901,98.9955
20211001,100.3542
20211101,101.2684
20211201,101.1948
20220101,101.2146
20220201,101.8458
20220301,102.6732
20220401,102.9024
20220501,102.9659
20220601,102.8224
20220701,103.0505
20220801,103.1703
20220901,103.5326
20221001,103.4442
20221101,103.1058
20221201,101.8266
20230101,102.7476
20230201,102.8003
20230301,102.8143
20230401,103.2241
20230501,102.9809
20230601,102.3809
20230701,103.0722
20230801,103.0951
20230901,103.3081
20231001,102.5781
20231101,102.8868
20231201,102.6309
20240101,101.483
20240201,102.7267
20240301,102.5186
20240401,102.3568
20240501,102.9797
20240601,103.2534
20240701,102.5192
20240801,103.0196
20240901,102.5954
20241001,102.2138
20241101,101.9619
20241201,103.1177
20250101,103.3418
20250201,104.2202
20250301,103.8892
